Drone position: (0.15854155165866746, 6.97148372060934) at time 169.956
Drone position: (0.15854155200419628, 6.960364927110298) at time 170.004
Drone position: (0.15854155200419628, 6.960364927110298) at time 170.048
Drone position: (0.1660911497958557, 6.960364928306838) at time 170.092
Drone position: (0.1660911497958557, 6.960364928306838) at time 170.092
Drone position: (0.16609114979837758, 6.9603649285501055) at time 170.112
Drone position: (0.16609114982416762, 6.960364930114432) at time 170.16
Drone position: (0.16609114982416762, 6.960364930114432) at time 170.208
Drone position: (0.16609114979837758, 6.9603649285501055) at time 170.256
Drone position: (0.15854155203250808, 6.960364928917894) at time 170.3
Drone position: (0.15854155203250808, 6.960364928917894) at time 170.344
Drone position: (0.15854155203250808, 6.960364928917894) at time 170.392
Drone position: (0.15854155203250808, 6.960364928917894) at time 170.392
Drone position: (0.15854155203250808, 6.960364928917894) at time 170.42
Drone position: (0.15854155203502995, 6.960364929161162) at time 170.468
Drone position: (0.15854155229122602, 6.949246137869597) at time 170.512
Drone position: (0.15854155243213897, 6.949246138790773) at time 170.56
Drone position: (0.1585415524579291, 6.9492461403551) at time 170.604
Drone position: (0.15854155243213897, 6.949246138790773) at time 170.652
Drone position: (0.15854155243213897, 6.949246138790773) at time 170.696
Drone position: (0.15854155229122602, 6.949246137869597) at time 170.704
Drone position: (0.15854155243213897, 6.949246138790773) at time 170.724
